mission_id,log_entry
M-001,"Commander's Entry, Cycle 4523.1: We have arrived at the Nebula of Eternal Snacks. The sensors detect high concentrations of cosmic donuts."
M-002,"XO's Log: The crew is reporting hallucinations of giant floating pizzas. I suspect the nebula's gas composition is psychoactive."
M-003,"Engineering Report: The hyperdrive is clogged with space sprinkles. Cleaning protocols initiated. Estimated delay: 2 hours."
M-004,"Medical Officer's Log: Several crew members are suffering from sugar crashes. Administering vegetable supplements. Morale is low."
M-005,"Commander's Entry, Cycle 4523.9: We successfully navigated the Glazed Ring. We are now setting course for the Savory Galaxy."
M-006,"Science Officer's Note: The 'cosmic donuts' appear to be toroidal gas clouds with a unique spectral signature resembling fried dough."
M-007,"Security Alert: Unauthorized snacking detected in Cargo Bay 4. Suspect is a stowaway furry pest."
M-008,"Chef's Daily Log: Synthesizer malfunction. It's only producing broccoli. The crew is on the verge of mutiny."
M-009,"Communications Log: Received a distress signal from the GSS Bagel. They are trapped in a cream cheese anomaly."
M-010,"Commander's Entry, Final Entry: We have rescued the GSS Bagel. The mission was a delicious success. Returning to Outpost for gym time."
